source,target,dilation,method
7456853153,5971869789,1.0000267855040823,Delay-Bounded Spanner (ours)
7456853153,6853119084,1.0,Delay-Bounded Spanner (ours)
3686504889,5965956570,1.0,Delay-Bounded Spanner (ours)
3686504889,3866933743,1.0,Delay-Bounded Spanner (ours)
3686504889,6853092596,1.0,Delay-Bounded Spanner (ours)
3686504889,5057793310,1.0,Delay-Bounded Spanner (ours)
3686504889,2171637131,1.0,Delay-Bounded Spanner (ours)
3686504889,3866935632,1.0030330943280878,Delay-Bounded Spanner (ours)
3686504889,1319139935,1.0,Delay-Bounded Spanner (ours)
3686504889,5057793258,1.0,Delay-Bounded Spanner (ours)
3686504889,5057937046,1.0040456901980916,Delay-Bounded Spanner (ours)
3686504889,4043078154,1.0,Delay-Bounded Spanner (ours)
6853043266,2171888872,1.0044211720159535,Delay-Bounded Spanner (ours)
6853043266,3859766065,1.0,Delay-Bounded Spanner (ours)
6853043266,5966260784,1.0,Delay-Bounded Spanner (ours)
6853043266,7451212153,1.0,Delay-Bounded Spanner (ours)
6853043266,5057053291,1.0056904027768074,Delay-Bounded Spanner (ours)
6853043266,3859766073,1.0,Delay-Bounded Spanner (ours)
6853043266,5982522013,1.0,Delay-Bounded Spanner (ours)
6853043266,5167747875,1.0238495450400935,Delay-Bounded Spanner (ours)
6853043266,5057936965,1.0061575786118968,Delay-Bounded Spanner (ours)
6853043266,5971893129,1.0,Delay-Bounded Spanner (ours)
7456872000,5058207759,1.0,Delay-Bounded Spanner (ours)
7456872000,3700603647,1.0,Delay-Bounded Spanner (ours)
7456872000,4043078130,1.006805142982657,Delay-Bounded Spanner (ours)
7456872000,3691467294,1.0,Delay-Bounded Spanner (ours)
7456872000,3888465124,1.0,Delay-Bounded Spanner (ours)
7456872000,7456983071,1.0,Delay-Bounded Spanner (ours)
7456872000,5966003308,1.0,Delay-Bounded Spanner (ours)
7456872000,5839464300,1.0,Delay-Bounded Spanner (ours)
7456872000,4043078109,1.0308815690009623,Delay-Bounded Spanner (ours)
7456872000,7457140728,1.0,Delay-Bounded Spanner (ours)
5971869785,5964136944,1.0,Static Free-Flow Spanner
5971869785,2997342470,1.0,Static Free-Flow Spanner
5971869785,5968212764,1.0,Static Free-Flow Spanner
5971869785,5058043923,1.0,Static Free-Flow Spanner
5971869785,1319139934,1.0,Static Free-Flow Spanner
5971869785,13181157932,1.0,Static Free-Flow Spanner
5971869785,3275071580,1.0,Static Free-Flow Spanner
5971869785,3866933699,1.0,Static Free-Flow Spanner
5971869785,3866935982,1.0,Static Free-Flow Spanner
5971869785,5167747909,1.0,Static Free-Flow Spanner
3686514157,5968379566,1.0150213112683026,Static Free-Flow Spanner
3686514157,12050489668,1.0202986702567016,Static Free-Flow Spanner
3686514157,5966003308,1.0,Static Free-Flow Spanner
3686514157,3842949368,1.0092974030580226,Static Free-Flow Spanner
3686514157,7451193131,1.0178420737151832,Static Free-Flow Spanner
3686514157,5982460282,1.0207792707872512,Static Free-Flow Spanner
3686514157,729757918,1.007803354951769,Static Free-Flow Spanner
3686514157,5964136944,1.0101081472210938,Static Free-Flow Spanner
3686514157,5058043908,1.0104585139206255,Static Free-Flow Spanner
3686514157,3866935274,1.0254607600650554,Static Free-Flow Spanner
11649780056,5058207605,1.0147413354915307,Static Free-Flow Spanner
11649780056,5968184371,1.007332260226797,Static Free-Flow Spanner
11649780056,4064823317,1.0114960419346892,Static Free-Flow Spanner
11649780056,11228720453,1.0,Static Free-Flow Spanner
11649780056,3700753721,1.007569733915559,Static Free-Flow Spanner
11649780056,7106087708,1.0,Static Free-Flow Spanner
11649780056,5058043930,1.0,Static Free-Flow Spanner
11649780056,5057793417,1.0,Static Free-Flow Spanner
11649780056,4064823316,1.0120588277165725,Static Free-Flow Spanner
11649780056,3700753698,1.0079479124925008,Static Free-Flow Spanner
7456876622,3859766094,1.0,Static Free-Flow Spanner
7456876622,5057793379,1.0,Static Free-Flow Spanner
7456876622,3686504887,1.0,Static Free-Flow Spanner
7456876622,3275071574,1.0,Static Free-Flow Spanner
7456876622,5057936854,1.0,Static Free-Flow Spanner
7456876622,3296662733,1.0,Static Free-Flow Spanner
7456876622,5057935947,1.0,Static Free-Flow Spanner
7456876622,5057793579,1.0,Static Free-Flow Spanner
7456876622,5968379572,1.0000298053471859,Static Free-Flow Spanner
7456876622,4043078129,1.0,Static Free-Flow Spanner
4064823279,1319148779,1.0,Static Free-Flow Spanner
4064823279,7451854698,1.0,Static Free-Flow Spanner
4064823279,5058207769,1.0351441076047299,Static Free-Flow Spanner
4064823279,5747062218,1.0,Static Free-Flow Spanner
4064823279,3688721250,1.0,Static Free-Flow Spanner
4064823279,5057936848,1.0,Static Free-Flow Spanner
4064823279,2472417891,1.0,Static Free-Flow Spanner
4064823279,5965868887,1.0,Static Free-Flow Spanner
4064823279,4080896069,1.0330432694696337,Static Free-Flow Spanner
4064823279,5971712871,1.0,Static Free-Flow Spanner
3888464942,5968568131,1.0,Static Free-Flow Spanner
3888464942,5057935995,1.0,Static Free-Flow Spanner
3888464942,5966393701,1.0,Static Free-Flow Spanner
3888464942,3840730919,1.0,Static Free-Flow Spanner
3888464942,7447864318,1.0,Static Free-Flow Spanner
3888464942,2171888933,1.0,Static Free-Flow Spanner
3888464942,1319460609,1.0,Static Free-Flow Spanner
3888464942,6050457306,1.0,Static Free-Flow Spanner
3888464942,3866935600,1.0,Static Free-Flow Spanner
3888464942,4076359212,1.0,Static Free-Flow Spanner
3866935503,2472417902,1.0,Static Free-Flow Spanner
3866935503,3879369957,1.0,Static Free-Flow Spanner
3866935503,3686504879,1.0,Static Free-Flow Spanner
3866935503,5057936856,1.0,Static Free-Flow Spanner
3866935503,4064823316,1.0,Static Free-Flow Spanner
3866935503,5058207728,1.0,Static Free-Flow Spanner
3866935503,5971822160,1.0,Static Free-Flow Spanner
3866935503,5057936188,1.0,Static Free-Flow Spanner
3866935503,3700753737,1.0,Static Free-Flow Spanner
3866935503,5057936789,1.0,Static Free-Flow Spanner
3691467294,5057935925,1.0,Static Free-Flow Spanner
3691467294,3859766054,1.0,Static Free-Flow Spanner
3691467294,6787262365,1.0,Static Free-Flow Spanner
3691467294,4043078151,1.0063885604631253,Static Free-Flow Spanner
3691467294,729757927,1.0062984277774891,Static Free-Flow Spanner
3691467294,6853090144,1.0,Static Free-Flow Spanner
3691467294,5981175002,1.0,Static Free-Flow Spanner
3691467294,2171888966,1.0,Static Free-Flow Spanner
3691467294,5968464428,1.0,Static Free-Flow Spanner
3691467294,5971822157,1.0,Static Free-Flow Spanner
7456853153,3734102723,1.0,Static Free-Flow Spanner
7456853153,5684854574,1.0,Static Free-Flow Spanner
7456853153,7451841777,1.0084197171902638,Static Free-Flow Spanner
7456853153,3888464941,1.0,Static Free-Flow Spanner
7456853153,3700753742,1.0077645611425763,Static Free-Flow Spanner
7456853153,5058207805,1.0,Static Free-Flow Spanner
7456853153,5057936851,1.0,Static Free-Flow Spanner
7456853153,4064823205,1.0,Static Free-Flow Spanner
7456853153,5971869789,1.0000267855040823,Static Free-Flow Spanner
7456853153,6853119084,1.0,Static Free-Flow Spanner
3686504889,5965956570,1.0,Static Free-Flow Spanner
3686504889,3866933743,1.0,Static Free-Flow Spanner
3686504889,6853092596,1.0,Static Free-Flow Spanner
3686504889,5057793310,1.0120049128367237,Static Free-Flow Spanner
3686504889,2171637131,1.0,Static Free-Flow Spanner
3686504889,3866935632,1.0030330943280878,Static Free-Flow Spanner
3686504889,1319139935,1.0,Static Free-Flow Spanner
3686504889,5057793258,1.0,Static Free-Flow Spanner
3686504889,5057937046,1.0040456901980916,Static Free-Flow Spanner
3686504889,4043078154,1.0,Static Free-Flow Spanner
6853043266,2171888872,1.0044211720159535,Static Free-Flow Spanner
6853043266,3859766065,1.0,Static Free-Flow Spanner
6853043266,5966260784,1.0,Static Free-Flow Spanner
6853043266,7451212153,1.0,Static Free-Flow Spanner
6853043266,5057053291,1.0056904027768074,Static Free-Flow Spanner
6853043266,3859766073,1.0,Static Free-Flow Spanner
6853043266,5982522013,1.0,Static Free-Flow Spanner
6853043266,5167747875,1.0238495450400935,Static Free-Flow Spanner
6853043266,5057936965,1.0061575786118968,Static Free-Flow Spanner
6853043266,5971893129,1.0,Static Free-Flow Spanner
7456872000,5058207759,1.0,Static Free-Flow Spanner
7456872000,3700603647,1.0,Static Free-Flow Spanner
7456872000,4043078130,1.006805142982657,Static Free-Flow Spanner
7456872000,3691467294,1.0,Static Free-Flow Spanner
7456872000,3888465124,1.0,Static Free-Flow Spanner
7456872000,7456983071,1.0,Static Free-Flow Spanner
7456872000,5966003308,1.0,Static Free-Flow Spanner
7456872000,5839464300,1.0,Static Free-Flow Spanner
7456872000,4043078109,1.0308815690009623,Static Free-Flow Spanner
7456872000,7457140728,1.0,Static Free-Flow Spanner
5971869785,5964136944,1.0,Matched-Density Betweenness
5971869785,2997342470,1.0,Matched-Density Betweenness
5971869785,5968212764,1.0073190192296029,Matched-Density Betweenness
5971869785,5058043923,1.0,Matched-Density Betweenness
5971869785,1319139934,1.0,Matched-Density Betweenness
5971869785,13181157932,1.0,Matched-Density Betweenness
5971869785,3275071580,1.0,Matched-Density Betweenness
5971869785,3866933699,1.0,Matched-Density Betweenness
5971869785,3866935982,1.0,Matched-Density Betweenness
5971869785,5167747909,1.0,Matched-Density Betweenness
3686514157,5968379566,1.0,Matched-Density Betweenness
3686514157,12050489668,1.0,Matched-Density Betweenness
3686514157,5966003308,1.0,Matched-Density Betweenness
3686514157,3842949368,1.0,Matched-Density Betweenness
3686514157,7451193131,1.0,Matched-Density Betweenness
3686514157,5982460282,1.0,Matched-Density Betweenness
3686514157,729757918,1.0,Matched-Density Betweenness
3686514157,5964136944,1.0,Matched-Density Betweenness
3686514157,5058043908,1.0,Matched-Density Betweenness
3686514157,3866935274,1.0,Matched-Density Betweenness
11649780056,5058207605,1.0,Matched-Density Betweenness
11649780056,5968184371,1.0,Matched-Density Betweenness
11649780056,4064823317,1.0,Matched-Density Betweenness
11649780056,11228720453,1.0,Matched-Density Betweenness
11649780056,3700753721,1.0,Matched-Density Betweenness
11649780056,7106087708,1.0,Matched-Density Betweenness
11649780056,5058043930,1.0,Matched-Density Betweenness
11649780056,5057793417,1.0,Matched-Density Betweenness
11649780056,4064823316,1.0,Matched-Density Betweenness
11649780056,3700753698,1.0,Matched-Density Betweenness
7456876622,3859766094,1.0,Matched-Density Betweenness
7456876622,5057793379,1.0,Matched-Density Betweenness
7456876622,3686504887,1.0,Matched-Density Betweenness
7456876622,3275071574,1.0,Matched-Density Betweenness
7456876622,5057936854,1.0,Matched-Density Betweenness
7456876622,3296662733,1.0,Matched-Density Betweenness
7456876622,5057935947,1.0,Matched-Density Betweenness
7456876622,5057793579,1.0,Matched-Density Betweenness
7456876622,5968379572,1.0,Matched-Density Betweenness
7456876622,4043078129,1.0,Matched-Density Betweenness
4064823279,1319148779,1.0,Matched-Density Betweenness
4064823279,7451854698,1.0,Matched-Density Betweenness
4064823279,5058207769,1.0,Matched-Density Betweenness
4064823279,5747062218,1.0,Matched-Density Betweenness
4064823279,3688721250,1.0,Matched-Density Betweenness
4064823279,5057936848,1.0,Matched-Density Betweenness
4064823279,2472417891,1.0,Matched-Density Betweenness
4064823279,5965868887,1.0,Matched-Density Betweenness
4064823279,4080896069,1.0,Matched-Density Betweenness
4064823279,5971712871,1.0,Matched-Density Betweenness
3888464942,5968568131,1.0,Matched-Density Betweenness
3888464942,5057935995,1.0,Matched-Density Betweenness
3888464942,5966393701,1.0,Matched-Density Betweenness
3888464942,3840730919,1.0,Matched-Density Betweenness
3888464942,7447864318,1.0,Matched-Density Betweenness
3888464942,2171888933,1.0,Matched-Density Betweenness
3888464942,1319460609,1.0,Matched-Density Betweenness
3888464942,6050457306,1.0,Matched-Density Betweenness
3888464942,3866935600,1.0,Matched-Density Betweenness
3888464942,4076359212,1.0,Matched-Density Betweenness
3866935503,2472417902,1.0,Matched-Density Betweenness
3866935503,3879369957,1.0,Matched-Density Betweenness
3866935503,3686504879,1.0,Matched-Density Betweenness
3866935503,5057936856,1.0,Matched-Density Betweenness
